         t-t0          tau          rho            T            r            v
   9.8445D-03   7.5741D+10   2.9107D-01   3.8107D+07   5.8208D+09   7.0000D-04
   9.9844D-02   3.6535D+07   2.7669D-01   3.7497D+07   5.8608D+09   0.0000D+00
   4.9984D-01   3.8444D+05   2.7102D-01   3.7411D+07   5.8788D+09   0.0000D+00
   9.9984D-01   6.2197D+04   2.6424D-01   3.7239D+07   5.8999D+09   0.0000D+00
   1.9998D+00   1.1684D+04   2.5293D-01   3.7068D+07   5.9377D+09   0.0000D+00
   2.9998D+00   2.9864D+03   2.1086D-12   3.0409D+05   2.2185D+13   1.0265D+00
   3.9998D+00   1.2467D+03   4.2462D-13   1.7338D+05   3.7852D+13   8.6850D-01
   4.9998D+00   6.5754D+02   1.5276D-13   1.2246D+05   5.3229D+13   9.6460D-01
   5.9998D+00   3.8773D+02   6.8865D-14   9.3756D+04   6.9416D+13   9.9610D-01
   6.9998D+00   2.4345D+02   3.5892D-14   7.4645D+04   8.6243D+13   1.0273D+00
   7.9998D+00   1.6533D+02   2.0654D-14   6.1376D+04   1.0373D+14   1.0465D+00
   8.9998D+00   1.1978D+02   1.3243D-14   5.2360D+04   1.2030D+14   1.0632D+00
   9.9998D+00   8.5369D+01   8.7297D-15   4.4978D+04   1.3816D+14   1.0680D+00
   1.2000D+01   4.9908D+01   4.4259D-15   3.4435D+04   1.7327D+14   1.0773D+00
   1.4000D+01   3.1503D+01   2.5061D-15   2.7102D+04   2.0955D+14   1.0877D+00
   1.6000D+01   2.0683D+01   1.5812D-15   2.1777D+04   2.4427D+14   1.0897D+00
   1.8000D+01   1.1233D+01   1.0423D-15   1.7539D+04   2.8066D+14   1.0984D+00
   2.0000D+01   6.3117D+00   7.2277D-16   1.3932D+04   3.1718D+14   1.1045D+00
   2.2000D+01   3.5674D+00   5.2602D-16   1.1066D+04   3.5266D+14   1.1065D+00
   2.4000D+01   2.3633D+00   3.9084D-16   7.7446D+03   3.8909D+14   1.1103D+00
   2.6000D+01   1.2295D+00   2.9512D-16   4.9317D+03   4.2737D+14   1.1110D+00
   2.8000D+01   8.9552D-01   2.3335D-16   4.0365D+03   4.6217D+14   1.1109D+00
   3.0000D+01   7.0948D-01   1.8450D-16   3.7068D+03   4.9978D+14   1.1109D+00
   3.2000D+01   5.8636D-01   1.4859D-16   3.4674D+03   5.3739D+14   1.1109D+00
   3.4000D+01   5.0097D-01   1.2303D-16   3.2961D+03   5.7236D+14   1.1109D+00
   3.6000D+01   4.2896D-01   1.0162D-16   3.1333D+03   6.0997D+14   1.1109D+00
   3.8000D+01   3.7605D-01   8.5901D-17   3.0130D+03   6.4495D+14   1.1109D+00
   4.0000D+01   3.2988D-01   7.2444D-17   2.8840D+03   6.8255D+14   1.1109D+00
   4.2000D+01   2.9505D-01   6.2373D-17   2.7925D+03   7.1753D+14   1.1109D+00
   4.4000D+01   2.6352D-01   5.3580D-17   2.7102D+03   7.5513D+14   1.1109D+00
   4.6000D+01   2.3887D-01   4.6774D-17   2.6363D+03   7.9011D+14   1.1109D+00
