 days post max Lbol   log_Lbol (erg/s)   log_Lnuc (erg/s)
     -1.895887E-04       4.221000E+01       4.281345E+01
     -1.895887E-04       4.221000E+01       4.281345E+01
     -1.895887E-04       4.221000E+01       4.281345E+01
     -1.895887E-04       4.221000E+01       4.281345E+01
     -1.895887E-04       4.221000E+01       4.281345E+01
     -1.895887E-04       4.221000E+01       4.281345E+01
     -1.895887E-04       4.221000E+01       4.281345E+01
     -1.895887E-04       4.221000E+01       4.281345E+01
     -1.895887E-04       4.221000E+01       4.281345E+01
     -1.895887E-04       4.221000E+01       4.281345E+01
     -1.895887E-04       4.221000E+01       4.281345E+01
     -1.895887E-04       4.221000E+01       4.281345E+01
     -1.895887E-04       4.221000E+01       4.281345E+01
     -1.895887E-04       4.221000E+01       4.281345E+01
     -1.895887E-04       4.221000E+01       4.281345E+01
     -1.895887E-04       4.221000E+01       4.281345E+01
     -1.895887E-04       4.221000E+01       4.281345E+01
     -1.895887E-04       4.221000E+01       4.281345E+01
     -1.895887E-04       4.221000E+01       4.281345E+01
     -1.895887E-04       4.221000E+01       4.281345E+01
     -1.895887E-04       4.221000E+01       4.281345E+01
     -1.895887E-04       4.221000E+01       4.281345E+01
     -1.895887E-04       4.221000E+01       4.281345E+01
     -1.895887E-04       4.221000E+01       4.281345E+01
     -1.895887E-04       4.221000E+01       4.281345E+01
     -1.895887E-04       4.221000E+01       4.281345E+01
     -1.895887E-04       4.221000E+01       4.281345E+01
     -1.895887E-04       4.221000E+01       4.281345E+01
     -1.895887E-04       4.221000E+01       4.281345E+01
     -1.895887E-04       4.221000E+01       4.281345E+01
     -1.895887E-04       4.221000E+01       4.281345E+01
     -1.895887E-04       4.221000E+01       4.281345E+01
     -1.895887E-04       4.221000E+01       4.281345E+01
     -1.895887E-04       4.221000E+01       4.281345E+01
     -1.895887E-04       4.221000E+01       4.281345E+01
     -1.895887E-04       4.221000E+01       4.281345E+01
     -1.895887E-04       4.221000E+01       4.281345E+01
     -1.895887E-04       4.221000E+01       4.281345E+01
     -1.895887E-04       4.221000E+01       4.281345E+01
     -1.895887E-04       4.221000E+01       4.281345E+01
     -1.895887E-04       4.221000E+01       4.281345E+01
     -1.895887E-04       4.221000E+01       4.281345E+01
     -1.895887E-04       4.221000E+01       4.281345E+01
     -1.895887E-04       4.221000E+01       4.281345E+01
     -1.895887E-04       4.221000E+01       4.281345E+01
     -1.895887E-04       4.221000E+01       4.281345E+01
     -1.895887E-04       4.221000E+01       4.281345E+01
     -1.895887E-04       4.221000E+01       4.281345E+01
     -1.895887E-04       4.221000E+01       4.281345E+01
     -1.895887E-04       4.221000E+01       4.281345E+01
     -1.895887E-04       4.221000E+01       4.281345E+01
     -1.895887E-04       4.221000E+01       4.281345E+01
     -1.895887E-04       4.221000E+01       4.281345E+01
     -1.895887E-04       4.221000E+01       4.281345E+01
     -1.895887E-04       4.221000E+01       4.281345E+01
     -1.895887E-04       4.221000E+01       4.281345E+01
     -1.895886E-04       4.221000E+01       4.281345E+01
     -1.895886E-04       4.221000E+01       4.281345E+01
     -1.895886E-04       4.221000E+01       4.281345E+01
     -1.895885E-04       4.221000E+01       4.281345E+01
     -1.895885E-04       4.221000E+01       4.281345E+01
     -1.895884E-04       4.221000E+01       4.281345E+01
     -1.895883E-04       4.221000E+01       4.281345E+01
     -1.895882E-04       4.221000E+01       4.281345E+01
     -1.895880E-04       4.221000E+01       4.281345E+01
     -1.895878E-04       4.221000E+01       4.281345E+01
     -1.895877E-04       4.221000E+01       4.281345E+01
     -1.895873E-04       4.221000E+01       4.281345E+01
     -1.895870E-04       4.221000E+01       4.281345E+01
     -1.895866E-04       4.221000E+01       4.281345E+01
     -1.895862E-04       4.221000E+01       4.281345E+01
     -1.895854E-04       4.221000E+01       4.281345E+01
     -1.895846E-04       4.221000E+01       4.281345E+01
     -1.895838E-04       4.221000E+01       4.281345E+01
     -1.895830E-04       4.221000E+01       4.281345E+01
     -1.895812E-04       4.221000E+01       4.281345E+01
     -1.895794E-04       4.221000E+01       4.281345E+01
     -1.895776E-04       4.221000E+01       4.281345E+01
     -1.895722E-04       4.221000E+01       4.281345E+01
     -1.895648E-04       4.221000E+01       4.281345E+01
     -1.895035E-04       4.221000E+01       4.281345E+01
     -1.894752E-04       4.221000E+01       4.281345E+01
     -1.894271E-04       4.221000E+01       4.281345E+01
     -1.893790E-04       4.221000E+01       4.281345E+01
     -1.892939E-04       4.221000E+01       4.281345E+01
     -1.892089E-04       4.221000E+01       4.281345E+01
     -1.890250E-04       4.221000E+01       4.281345E+01
     -1.888410E-04       4.221000E+01       4.281345E+01
     -1.886364E-04       4.221000E+01       4.281345E+01
     -1.884317E-04       4.221000E+01       4.281345E+01
     -1.882271E-04       4.221000E+01       4.281345E+01
     -1.880225E-04       4.221000E+01       4.281345E+01
     -1.877411E-04       4.221000E+01       4.281345E+01
     -1.874598E-04       4.221000E+01       4.281345E+01
     -1.871784E-04       4.221000E+01       4.281345E+01
     -1.866156E-04       4.221000E+01       4.281345E+01
     -1.862045E-04       4.221000E+01       4.281345E+01
     -1.853823E-04       4.221000E+01       4.281345E+01
     -1.845601E-04       4.221000E+01       4.281345E+01
     -1.835193E-04       4.221000E+01       4.281345E+01
     -1.824784E-04       4.221000E+01       4.281345E+01
     -1.809194E-04       4.221000E+01       4.281345E+01
     -1.793615E-04       4.221000E+01       4.281345E+01
     -1.774025E-04       4.221000E+01       4.281345E+01
     -1.753131E-04       4.221000E+01       4.281345E+01
     -1.730487E-04       4.221000E+01       4.281345E+01
     -1.706276E-04       4.221000E+01       4.281345E+01
     -1.675029E-04       4.221000E+01       4.281345E+01
     -1.636929E-04       4.221000E+01       4.281345E+01
     -1.588558E-04       4.221000E+01       4.281345E+01
     -1.530875E-04       3.909300E+01       4.281345E+01
     -1.318253E-04       3.904700E+01       4.281345E+01
     -1.244985E-04       3.903500E+01       4.281345E+01
     -1.191696E-04       3.902800E+01       4.281345E+01
     -1.179190E-04       3.902600E+01       4.281345E+01
     -1.136110E-04       3.902100E+01       4.281345E+01
     -1.105255E-04       3.901700E+01       4.281345E+01
     -1.070572E-04       3.901300E+01       4.281345E+01
     -1.043298E-04       3.900900E+01       4.281345E+01
     -1.016244E-04       3.900600E+01       4.281345E+01
     -9.802450E-05       3.900300E+01       4.281345E+01
     -9.519120E-05       3.900000E+01       4.281345E+01
     -9.240450E-05       3.899700E+01       4.281345E+01
     -8.978520E-05       3.899500E+01       4.281345E+01
     -8.727930E-05       3.899300E+01       4.281345E+01
     -8.483280E-05       3.899000E+01       4.281345E+01
     -8.227840E-05       3.898800E+01       4.281345E+01
     -8.019300E-05       3.898700E+01       4.281345E+01
     -7.868830E-05       3.898600E+01       4.281345E+01
     -7.785050E-05       3.898500E+01       4.281345E+01
     -7.606960E-05       3.898300E+01       4.281345E+01
     -7.333480E-05       3.898100E+01       4.281345E+01
     -7.020400E-05       3.897900E+01       4.281345E+01
     -6.708030E-05       3.897700E+01       4.281345E+01
     -6.432430E-05       3.897500E+01       4.281345E+01
     -6.208130E-05       3.897300E+01       4.281345E+01
     -5.998260E-05       3.897200E+01       4.281345E+01
     -5.758170E-05       3.897000E+01       4.281345E+01
     -5.542880E-05       3.896900E+01       4.281345E+01
     -5.478730E-05       3.896800E+01       4.281345E+01
     -5.334040E-05       3.896700E+01       4.281345E+01
     -5.169740E-05       3.896600E+01       4.281345E+01
     -4.997460E-05       3.896500E+01       4.281345E+01
     -4.819930E-05       3.896400E+01       4.281345E+01
     -4.658050E-05       3.896300E+01       4.281345E+01
     -4.517390E-05       3.896200E+01       4.281345E+01
     -4.358290E-05       3.896100E+01       4.281345E+01
     -4.192720E-05       3.896000E+01       4.281345E+01
     -4.040210E-05       3.895900E+01       4.281345E+01
     -3.997060E-05       3.895900E+01       4.281345E+01
     -3.890100E-05       3.895900E+01       4.281345E+01
     -3.736260E-05       3.895800E+01       4.281345E+01
     -3.577770E-05       3.895700E+01       4.281345E+01
     -3.416850E-05       3.895600E+01       4.281345E+01
     -3.250220E-05       3.895500E+01       4.281345E+01
