 days post max Lbol   log_Lbol (erg/s)   log_Lnuc (erg/s)
     -4.870301E-04       4.272700E+01       4.201072E+01
     -4.870301E-04       4.272700E+01       4.201072E+01
     -4.870301E-04       4.272700E+01       4.201072E+01
     -4.870301E-04       4.272700E+01       4.201072E+01
     -4.870301E-04       4.272700E+01       4.201072E+01
     -4.870301E-04       4.272700E+01       4.201072E+01
     -4.870301E-04       4.272700E+01       4.201072E+01
     -4.870301E-04       4.272700E+01       4.201072E+01
     -4.870301E-04       4.272700E+01       4.201072E+01
     -4.870301E-04       4.272700E+01       4.201072E+01
     -4.870301E-04       4.272700E+01       4.201072E+01
     -4.870301E-04       4.272700E+01       4.201072E+01
     -4.870301E-04       4.272700E+01       4.201072E+01
     -4.870301E-04       4.272700E+01       4.201072E+01
     -4.870301E-04       4.272700E+01       4.201072E+01
     -4.870301E-04       4.272700E+01       4.201072E+01
     -4.870301E-04       4.272700E+01       4.201072E+01
     -4.870301E-04       4.272700E+01       4.201072E+01
     -4.870301E-04       4.272700E+01       4.201072E+01
     -4.870301E-04       4.272700E+01       4.201072E+01
     -4.870301E-04       4.272700E+01       4.201072E+01
     -4.870301E-04       4.272700E+01       4.201072E+01
     -4.870301E-04       4.272700E+01       4.201072E+01
     -4.870301E-04       4.272700E+01       4.201072E+01
     -4.870301E-04       4.272700E+01       4.201072E+01
     -4.870301E-04       4.272700E+01       4.201072E+01
     -4.870301E-04       4.272700E+01       4.201072E+01
     -4.870301E-04       4.272700E+01       4.201072E+01
     -4.870301E-04       4.272700E+01       4.201072E+01
     -4.870301E-04       4.272700E+01       4.201072E+01
     -4.870301E-04       4.272700E+01       4.201072E+01
     -4.870301E-04       4.272700E+01       4.201072E+01
     -4.870301E-04       4.272700E+01       4.201072E+01
     -4.870301E-04       4.272700E+01       4.201072E+01
     -4.870301E-04       4.272700E+01       4.201072E+01
     -4.870301E-04       4.272700E+01       4.201072E+01
     -4.870301E-04       4.272700E+01       4.201072E+01
     -4.870301E-04       4.272700E+01       4.201072E+01
     -4.870301E-04       4.272700E+01       4.201072E+01
     -4.870301E-04       4.272700E+01       4.201072E+01
     -4.870300E-04       4.272700E+01       4.201072E+01
     -4.870300E-04       4.272700E+01       4.201072E+01
     -4.870300E-04       4.272700E+01       4.201072E+01
     -4.870300E-04       4.272700E+01       4.201072E+01
     -4.870300E-04       4.272700E+01       4.201072E+01
     -4.870300E-04       4.272700E+01       4.201072E+01
     -4.870299E-04       4.272700E+01       4.201072E+01
     -4.870298E-04       4.272700E+01       4.201072E+01
     -4.870297E-04       4.272700E+01       4.201072E+01
     -4.870292E-04       4.272700E+01       4.201072E+01
     -4.870287E-04       4.272700E+01       4.201072E+01
     -4.870282E-04       4.272700E+01       4.201072E+01
